ID,title,artist,year,gender,points,n,n1,n2,n3,n4,n5,PixelX,PixelY
76,Double Trouble At The Amphitheatre,Double Trouble,1983,male,10,1,1,0,0,0,0,16,59
77,Follow The Leader,Eric B & Rakim,1988,male,10,1,1,0,0,0,0,17,59
78,Guess Who’s Back,Rakim,1997,male,10,1,1,0,0,0,0,20,59
79,How To Rap About Africa,Black Vulcanite,2016,male,10,1,1,0,0,0,0,23,59
80,I Love The Dough,The Notorious B.I.G. ft. JAY-Z & Angela Winbush,1997,mixed,10,1,1,0,0,0,0,31,59
81,I Really Mean It,The Diplomats,2003,male,10,1,1,0,0,0,0,52,59
82,Kick Push,Lupe Fiasco,2006,male,10,1,1,0,0,0,0,57,59
83,Lose Control,Missy Elliot ft. Ciara and Fatman Scoop,2005,mixed,10,1,1,0,0,0,0,311,59
84,Memory Lane (Sittin’ in da Park),Nas,1994,male,10,1,1,0,0,0,0,344,59
85,Moment Of Truth,Gang Starr,1998,male,10,1,1,0,0,0,0,347,59
86,Mural,Lupe Fiasco,2015,male,10,1,1,0,0,0,0,14,60
87,Nature of the Threat,Ras Kass,1996,male,10,1,1,0,0,0,0,15,60
88,Never Change,JAY-Z,2001,male,10,1,1,0,0,0,0,16,60
89,Nutmeg,Ghostface Killah,2000,male,10,1,1,0,0,0,0,17,60
90,One Love,Nas,1994,male,10,1,1,0,0,0,0,18,60
91,Players,Slum Village,1997,male,10,1,1,0,0,0,0,19,60
92,Sideways,E-40 feat B-Legit & Mac Shon,1995,male,10,1,1,0,0,0,0,30,60
93,Straight Outta Compton (Extended Mix),NWA,1989,male,10,1,1,0,0,0,0,31,60
94,Terminator X To The Edge of Panic,Public Enemy,1998,male,10,1,1,0,0,0,0,32,60
95,That’s Not Me,Skepta ft. Jme,2014,male,10,1,1,0,0,0,0,33,60
96,They Want EFX,Das EFX,1992,male,10,1,1,0,0,0,0,35,60
97,Things Done Changed,The Notorious B.I.G.,1994,male,10,1,1,0,0,0,0,36,60
98,Top Billin’,Audio Two,1987,male,10,1,1,0,0,0,0,37,60
